rank,company,revenue,profit
1,General Motors,12443.3,1189.5
2,Exxon Mobil,6272.4,709.3
3,Ford Motor,5594,437
4,U.S. Steel,4097.7,370.1
5,Chrysler,3466.2,100.1
6,General Electric,3095.4,200.9
7,Esmark,2404.1,22.9
8,Bethlehem Steel,2096.6,180.2
9,Armour,1967.7,10.1
10,DuPont,1909.2,431.6
11,Gulf Oil,1895.7,218.1
12,AT&T Technologies,1853.3,63.3
13,Mobil,1839.3,207.4
14,Amoco,1781.3,157.1
15,Texaco,1767.3,262.7
16,Shell Oil,1484.1,125.5
17,CBS,1441,42.8
18,Goodyear Tire & Rubber,1372.2,59.7
19,ChevronTexaco,1277.8,231.1
20,Kraft,1260.2,40.3
